,Name,Review Count,Category,Sub Category,Address,City,Zip Code,Phone number,Yelp Domain
13,Odd Duck,1115 reviews,American (Traditional),,1201 S Lamar Blvd ,Austin,78704,(512) 433-6514,https://www.yelp.com/biz/odd-duck-austin-2?hrid=DNGGjJ9DAL_19XFnlFZQ4A&osq=Restaurants
14,Heo Eatery,173 reviews,Vietnamese,,6214 N Lamar Blvd ,Austin,78752,(512) 243-5906,https://www.yelp.com/biz/heo-eatery-austin?hrid=5-61Dln37zxfygo8Dr69ew&osq=Restaurants
15,The Halal Gurus,23 reviews,Mediterranean,Halal,2538 Elmont Dr ,Austin,78741,(512) 960-5390,https://www.yelp.com/biz/the-halal-gurus-austin-2?hrid=rg5q0sBtM9Tbb7VYvKezTQ&osq=Restaurants
16,Stella San Jac,312 reviews,American (New),Sandwiches,310 E 5th St ,Austin,78701,(512) 792-5648,https://www.yelp.com/biz/stella-san-jac-austin-2?hrid=VLs9S628umBKHRUudxq5gA&osq=Restaurants
17,Oasis Texas Brewing Company,133 reviews,Breweries,Salad,6550 Comanche Trl ,Austin,78732,(512) 284-9407,https://www.yelp.com/biz/oasis-texas-brewing-company-austin?hrid=-Stw_sKcwalt7Su0zgIjUQ&osq=Restaurants
18,Second Bar + Kitchen,954 reviews,American (New),,200 Congress Ave ,Austin,78701,(512) 827-2750,https://www.yelp.com/biz/second-bar-kitchen-austin-2?hrid=KtULDeFa3v-wCvcPSe9woA&osq=Restaurants
19,The Hightower,408 reviews,American (New),,1209 E 7th St ,Austin,78702,(512) 524-1448,https://www.yelp.com/biz/the-hightower-austin?hrid=xCWKeP0uNI1BxjelsPFp9A&osq=Restaurants
20,True Food Kitchen,443 reviews,American (New),Vegan,222 West Ave ,Austin,78701,(512) 777-2430,https://www.yelp.com/biz/true-food-kitchen-austin-2?hrid=xn79Rnkmarbe5AJ_rbvHuw&osq=Restaurants
21,Swift's Attic,809 reviews,American (New),Gastropubs,315 Congress Ave ,Austin,78701,(512) 482-8842,https://www.yelp.com/biz/swifts-attic-austin?hrid=i6yD8bMkmUr6Ef9-k-lsLw&osq=Restaurants
22,Irene's,241 reviews,Bars,American (Traditional),506 W Ave ,Austin,78701,(512) 298-0853,https://www.yelp.com/biz/irenes-austin?hrid=f48dlIhlBCosaWu0nOk52A&osq=Restaurants
23,Sala & Betty,281 reviews,American (New),Diners,5201 Airport Blvd ,Austin,78751,(512) 645-0214,https://www.yelp.com/biz/sala-and-betty-austin?hrid=IMo9SgmReimz9AB7Uf1pJg&osq=Restaurants
24,The Little Darlin,109 reviews,American (Traditional),Lounges,6507 Circle S Rd ,Austin,78745,(512) 814-0999,https://www.yelp.com/biz/the-little-darlin-austin?hrid=ZkW_zc0bY5NQNQXdL-0BsA&osq=Restaurants
25,Sway,1218 reviews,Thai,Asian Fusion,1417 S 1st St ,Austin,78704,(512) 326-1999,https://www.yelp.com/biz/sway-austin?hrid=MSRozyb9M7NB8dzdLcZvNQ&osq=Restaurants
26,Gus's World Famous Fried Chicken,1267 reviews,Southern,Chicken Shop,117 San Jacinto Blvd ,Austin,78701,(512) 474-4877,https://www.yelp.com/biz/guss-world-famous-fried-chicken-austin?hrid=dWZwW_Y4sMFFWD7SJTJWUw&osq=Restaurants
27,Pitchfork Pretty,24 reviews,Cocktail Bars,American (New),2708 E Cesar Chavez ,Austin,78702,(512) 494-4593,https://www.yelp.com/biz/pitchfork-pretty-austin?hrid=8xw_HgShIme73L1qB4EWKQ&osq=Restaurants
28,Picnik Austin,223 reviews,American (New),Coffee & Tea,4801 Burnet Rd ,Austin,78756,(737) 226-0644,https://www.yelp.com/biz/picnik-austin-austin-6?hrid=h2aRilKCMdC1FQdX1xTZYw&osq=Restaurants
29,Kura Revolving Sushi Bar,287 reviews,Conveyor Belt Sushi,,6929 Airport Blvd ,Austin,78752,(737) 209-8799,https://www.yelp.com/biz/kula-revolving-sushi-bar-austin?hrid=_PE5Ps-W_vBpjR-WsDJkww&osq=Restaurants
30,Barley Swine,816 reviews,American (New),Bars,6555 Burnet Rd ,Austin,78757,(512) 394-8150,https://www.yelp.com/biz/barley-swine-austin?hrid=TT-dtY6T-7Q3FDVH16HPtA&osq=Restaurants
31,Bonhomie,113 reviews,Diners,French,5350 Burnet Rd ,Austin,78756,(512) 243-8558,https://www.yelp.com/biz/bonhomie-austin?hrid=EtBgncHo2jkJQcF1rXk0Dg&osq=Restaurants
32,Poke House,102 reviews,Poke,Hawaiian,11150 Research Blvd ,Austin,78759,(512) 291-6986,https://www.yelp.com/biz/poke-house-austin?hrid=ymaLpHYPvT_m9QHMns_c4A&osq=Restaurants
33,DEE DEE,198 reviews,Thai,Food Trucks,1906 E Cesar Chavez St ,Austin,78702,,https://www.yelp.com/biz/dee-dee-austin-2?hrid=0aRqYrwrqbycybA0GBCrpg&osq=Restaurants
34,Jack Allen's Kitchen 360,286 reviews,Southern,American (Traditional),3600 North Capital Of Texas Hwy ,Austin,78746,(512) 351-9399,https://www.yelp.com/biz/jack-allens-kitchen-360-austin?hrid=QgvgtBUkRXNS3JYO0i_2qg&osq=Restaurants
35,Koriente,1227 reviews,Asian Fusion,Vegetarian,621 E 7th St ,Austin,78701,(512) 275-0852,https://www.yelp.com/biz/koriente-austin?hrid=Q3nxx_McajjP00BF_pAcPw&osq=Restaurants
36,Eureka!,427 reviews,Bars,American (New),200 E 6th St ,Austin,78701,(512) 735-1144,https://www.yelp.com/biz/eureka-austin?hrid=wS8_VLMkikNBzcKtHLIG3Q&osq=Restaurants
37,Grizzelda's,92 reviews,Mexican,Tex-Mex,105 Tillery St ,Austin,78702,(512) 366-5908,https://www.yelp.com/biz/grizzeldas-austin?hrid=xyDP-qt93We-wfswPuBrEg&osq=Restaurants
38,The Big Kahuna,322 reviews,Food Trucks,Hawaiian,,Austin,,(512) 680-0224,https://www.yelp.com/biz/the-big-kahuna-austin-3?hrid=nF3YER6M5beA1F-0MV7OKA&osq=Restaurants
39,Roaring Fork,850 reviews,American (New),,10850 Stonelake Blvd ,Austin,78759,(512) 342-2700,https://www.yelp.com/biz/roaring-fork-austin-3?hrid=NGCCN8uXowKh9tAIcSP3SA&osq=Restaurants
40,Oasthouse Kitchen + Bar,211 reviews,Gastropubs,American (New),8300 N Fm 620 ,Austin,78726,(737) 222-5779,https://www.yelp.com/biz/oasthouse-kitchen-bar-austin?hrid=XN_8z1Pls2hkUH8MNd_GUw&osq=Restaurants
41,Peached Tortilla,383 reviews,Asian Fusion,Southern,5520 Burnet Rd ,Austin,78756,(512) 330-4439,https://www.yelp.com/biz/peached-tortilla-austin?hrid=f7CJQr8OhxozlEdhuj38dA&osq=Restaurants
42,Easy Tiger,1223 reviews,German,Bakeries,709 E 6th St ,Austin,78701,(512) 614-4972,https://www.yelp.com/biz/easy-tiger-austin?hrid=BoyP7Dx5vc3APciBcTDCUw&osq=Restaurants
43,Tia's Kitchen,39 reviews,Mexican,,12701 Nutty Brown Rd ,Austin,78737,(512) 689-2205,https://www.yelp.com/biz/tias-kitchen-austin?hrid=AG48tJ8PpUS3YtUzLkoePA&osq=Restaurants
44,Kemuri Tatsu-ya,131 reviews,Izakaya,Smokehouse,2713 E 2nd St ,Austin,78702,(512) 893-5561,https://www.yelp.com/biz/kemuri-tatsu-ya-austin-2?hrid=H8yFIp1q0YOhCl_5YjpcKQ&osq=Restaurants
45,Corner,255 reviews,American (Traditional),Bars,110 E 2nd St ,Austin,78701,(512) 608-4488,https://www.yelp.com/biz/corner-austin-2?hrid=pW5fUyTSmVvL0CzLTpIIhw&osq=Restaurants
46,South Congress Cafe,1934 reviews,Breakfast & Brunch,American (New),1600 S Congress Ave ,Austin,78704,(512) 447-3905,https://www.yelp.com/biz/south-congress-cafe-austin?hrid=KRROkfqWVm6ZnDOqqVramQ&osq=Restaurants
47,Kim Phung Restaurant Riverside,26 reviews,Chinese,Vietnamese,2237 E Riverside Dr ,Austin,78741,(512) 494-5666,https://www.yelp.com/biz/kim-phung-restaurant-riverside-austin-2?hrid=ViBFrPTqtxliapzBpi9UnA&osq=Restaurants
48,Royal Jelly,145 reviews,American (New),Cocktail Bars,704 W St Johns Ave ,Austin,78752,(512) 765-4816,https://www.yelp.com/biz/royal-jelly-austin?hrid=JNXTvcGC1BvbJwS4MeTkoA&osq=Restaurants
49,Jack Allen's Kitchen Oak Hill,1242 reviews,American (Traditional),,7720 Hwy 71 W ,Austin,78735,(512) 852-8558,https://www.yelp.com/biz/jack-allens-kitchen-oak-hill-austin-2?hrid=Q1x6VUadh0CKz2t0oVdJmw&osq=Restaurants
50,Brazas Taco House,18 reviews,Tex-Mex,Tacos,6801 Airport Blvd ,Austin,78752,(512) 953-5999,https://www.yelp.com/biz/brazas-taco-house-austin?hrid=yBMqPpewYsOk6ssZh--l_Q&osq=Restaurants
51,Kinda Tropical,19 reviews,Fast Food,,3501 E 7th St ,Austin,78702,(512) 373-8430,https://www.yelp.com/biz/kinda-tropical-austin?hrid=nlLPx2Z1EIlXuo5q6VQUyw&osq=Restaurants
52,ATX Cocina,35 reviews,Mexican,,110 San Antonio St ,Austin,78701,(512) 263-2322,https://www.yelp.com/biz/atx-cocina-austin?hrid=qhrOEt-kMEQZFOYT3CCLcA&osq=Restaurants
53,Contigo,658 reviews,Bars,American (Traditional),2027 Anchor Ln ,Austin,78723,(512) 614-2260,https://www.yelp.com/biz/contigo-austin?hrid=Vum6Ff5a14T_60GXHi7bDQ&osq=Restaurants
54,The Factory - Cafe With a Soul,273 reviews,Coffee & Tea,Waffles,7718 Burnet Rd ,Austin,78757,(512) 888-9766,https://www.yelp.com/biz/the-factory-cafe-with-a-soul-austin?hrid=LkKoNgw2LmsXRJs23rfvUQ&osq=Restaurants
55,Hopdoddy Burger Bar,3923 reviews,Burgers,American (Traditional),1400 S Congress Ave ,Austin,78704,(512) 243-7505,https://www.yelp.com/biz/hopdoddy-burger-bar-austin?hrid=brP7PYEnoRj2evcoJ7MUmw&osq=Restaurants
56,Emmer & Rye,261 reviews,Tapas/Small Plates,American (New),51 Rainey St ,Austin,78701,(512) 366-5530,https://www.yelp.com/biz/emmer-and-rye-austin?hrid=lFJmIk_H5FKhMBJi2ZVyGw&osq=Restaurants
57,Holy Roller,41 reviews,Breakfast & Brunch,Desserts,509 Rio Grande ,Austin,78701,(512) 502-5199,
58,Gumbos on the Lake,59 reviews,Seafood,Bars,6550 Comanche Trl ,Austin,78732,(512) 519-9071,https://www.yelp.com/biz/gumbos-on-the-lake-austin?hrid=UC4J8ajo44U5Tv7v66H1xw&osq=Restaurants
59,Van's Banh Mi,78 reviews,Vietnamese,Sandwiches,201 E 53rd St ,Austin,78751,(512) 593-1615,https://www.yelp.com/biz/vans-banh-mi-austin?hrid=JQ-wBcxhaNxSQK2OiQt1Lw&osq=Restaurants
60,Napa Flats Wood-Fired Kitchen - Austin,159 reviews,Pizza,Italian,8300 N Fm 620 ,Austin,78726,(512) 640-8384,https://www.yelp.com/biz/napa-flats-wood-fired-kitchen-austin-austin?hrid=pU01_n1AFpfYrCLy5MoORw&osq=Restaurants
61,Velvet Taco,180 reviews,Tacos,,11501 Rock Rose ,Austin,78758,(512) 704-8226,https://www.yelp.com/biz/velvet-taco-austin?hrid=OlNZy36lQ7w1HdyGXyvnGw&osq=Restaurants
62,Forthright,166 reviews,Cafes,,35 Brazos ,Austin,78701,(512) 433-6155,https://www.yelp.com/biz/forthright-austin-3?hrid=W6yM-KrHVVrUSvww22Lkqw&osq=Restaurants
63,Counter 3. FIVE. VII,126 reviews,American (New),Wine Bars,315 Congress Ave ,Austin,78701,(512) 291-3327,https://www.yelp.com/biz/counter-3-five-vii-austin?hrid=zigo7ree2U6b8mAWpiKrzw&osq=Restaurants
64,Bun Belly,341 reviews,Vietnamese,Asian Fusion,5001 Airport Blvd ,Austin,78751,(512) 358-4101,https://www.yelp.com/biz/bun-belly-austin?hrid=JJLMErZWOwdBbEz1O1l6_Q&osq=Restaurants
65,Eurasia Sushi Bar & Seafood,87 reviews,Sushi Bars,Seafood,7101 W Hwy 71 ,Austin,78735,(512) 382-0968,https://www.yelp.com/biz/eurasia-sushi-bar-and-seafood-austin-2?hrid=2EC7YzrkO4kwzQx8CbKDwA&osq=Restaurants
66,Little Barrel and Brown,339 reviews,American (New),French,1716 S Congress Ave ,Austin,78704,(512) 582-1229,https://www.yelp.com/biz/little-barrel-and-brown-austin?hrid=gXT4TJTB5sX6pfgt1iSAZA&osq=Restaurants
67,68 Degrees Kitchen,36 reviews,Italian,,2401 Lake   Blvd ,Austin,78703,(512) 766-6868,https://www.yelp.com/biz/68-degrees-kitchen-austin-2?hrid=aCzSAYRWxC4j17PITBsDUw&osq=Restaurants
68,Olive & June,450 reviews,Italian,,3411 Glenview Ave ,Austin,78703,(512) 467-9898,https://www.yelp.com/biz/olive-and-june-austin-2?hrid=PNZrEhaMozKVHC70GycVVw&osq=Restaurants
69,Kismet Cafe,61 reviews,Halal,Mediterranean,1000 E 41st St ,Austin,78751,(512) 236-1811,https://www.yelp.com/biz/kismet-cafe-austin-2?hrid=mbj5E0HPU6tH0a_uRSG70Q&osq=Restaurants
70,The Limestone Kitchen Restaurant & Lounge,33 reviews,American (New),,4415 South IH-35 ,Austin,78744,(512) 441-7900,https://www.yelp.com/biz/the-limestone-kitchen-restaurant-and-lounge-austin?hrid=N-Iq3VqP0pCifyn9IEbGQw&osq=Restaurants
71,Taco Joint,131 reviews,Mexican,,134 E Riverside Dr ,Austin,78704,(512) 599-5144,https://www.yelp.com/biz/taco-joint-austin-4?hrid=ZYype0hLOnwTKW7BwtRbYw&osq=Restaurants
72,Lebowski's Grill,217 reviews,Burgers,Breakfast & Brunch,8909 Burnet Rd ,Austin,78757,(512) 419-7166,https://www.yelp.com/biz/lebowskis-grill-austin?hrid=C_sweYAiu6GneQv6ERAQMg&osq=Restaurants
73,Street,80 reviews,Sushi Bars,Dim Sum,3407 Greystone Dr ,Austin,78731,(512) 382-9567,https://www.yelp.com/biz/street-austin?hrid=1nkdtVy0NLFBkKxAPdZRwA&osq=Restaurants
74,Red Lotus Asian Grille,40 reviews,Chinese,Vietnamese,6507 Jester Blvd ,Austin,78750,(512) 494-4994,https://www.yelp.com/biz/red-lotus-asian-grille-austin?hrid=CAdi9O5XieM-x3hACQX0SQ&osq=Restaurants
75,Veracruz All Natural,131 reviews,Food Trucks,Mexican,4208 Manchaca Rd ,Austin,78704,(512) 629-8238,https://www.yelp.com/biz/veracruz-all-natural-austin-7?hrid=LEgRRDOY34_sdz9lWBbHSQ&osq=Restaurants
76,Juniper,176 reviews,Italian,Modern European,2400 E Cesar Chavez ,Austin,78702,(512) 220-9421,https://www.yelp.com/biz/juniper-austin?hrid=49YaFwfaLA__LN-5ykilcQ&osq=Restaurants
77,Bao'd Up,52 reviews,Bubble Tea,Asian Fusion,1911 Aldrich St ,Austin,78723,,https://www.yelp.com/biz/baod-up-austin?hrid=lWm0V1GAZN7CrXoJiv6lqA&osq=Restaurants
78,Poke-Poke,225 reviews,Seafood,Hawaiian,3100 S Congress Ave ,Austin,78704,(512) 814-1032,https://www.yelp.com/biz/poke-poke-austin-2?hrid=37yBYIumWBscHD1txTKgOg&osq=Restaurants
79,Coast Bar & Kitchen,54 reviews,Cocktail Bars,Seafood,360 Nueces St ,Austin,78701,(512) 467-4621,https://www.yelp.com/biz/coast-bar-and-kitchen-austin?hrid=0knl7ftD-SfFzI3eXKqEoA&osq=Restaurants
80,Perla's,1191 reviews,Seafood,Breakfast & Brunch,1400 S Congress Ave ,Austin,78704,(512) 291-7300,https://www.yelp.com/biz/perlas-austin?hrid=3-AjWH7aLcwJTs9LdC1nCA&osq=Restaurants
81,Lazarus Brewing,112 reviews,Breweries,Tacos,1902 E 6th St ,Austin,78702,(512) 394-7620,https://www.yelp.com/biz/lazarus-brewing-austin?hrid=Z34x6hg_P48bOQlFbuYyAw&osq=Restaurants
82,The Happy Lobster Truck,10 reviews,Seafood,Food Trucks, ,Austin,78701,(312) 485-0342,https://www.yelp.com/biz/the-happy-lobster-truck-austin?hrid=3zyiBaAsz3Ocyy7l901pCA&osq=Restaurants
83,Fixe Austin's Southern House,418 reviews,Southern,American (New),500 W 5th St ,Austin,78701,(512) 888-9133,https://www.yelp.com/biz/fixe-austins-southern-house-austin?hrid=47_2L3xIjNM5aPn9ipNMuw&osq=Restaurants
84,Gambino's Gourmet Exchange,32 reviews,Southern,Cajun/Creole,1720 Barton Springs Rd ,Austin,78704,(512) 783-8788,https://www.yelp.com/biz/gambinos-gourmet-exchange-austin?hrid=zcZPkQKVwh74nU6U7UcyNA&osq=Restaurants
85,Troy,334 reviews,Turkish,Mediterranean,8105 Mesa Dr ,Austin,78759,(512) 897-2860,https://www.yelp.com/biz/troy-austin?hrid=BB64HAdgsBPfXfVYeaMT6Q&osq=Restaurants
86,JeonJu Korean Grill,39 reviews,Food Trucks,Korean,,Austin,,(512) 298-2838,https://www.yelp.com/biz/jeonju-korean-grill-austin?hrid=OqKebrSIYKJX1fTTZU_e6w&osq=Restaurants
87,Parkside,845 reviews,Seafood,American (New),301 E 6th St ,Austin,78701,(512) 474-9898,https://www.yelp.com/biz/parkside-austin?hrid=kikQBACj7m-SPUGk0NstJA&osq=Restaurants
88,Cooper's Old Time Pit Bar-B-Que,486 reviews,Barbeque,Desserts,217 Congress Ave ,Austin,78701,(512) 474-4227,https://www.yelp.com/biz/coopers-old-time-pit-bar-b-que-austin?hrid=-jPkK0JmFG1LluPtRTDk5w&osq=Restaurants
89,The Bonneville,222 reviews,American (New),,202 W Cesar Chavez St ,Austin,78701,(512) 428-4643,https://www.yelp.com/biz/the-bonneville-austin?hrid=o1pMizrfLnxeH-FjaL3fPw&osq=Restaurants
90,Baretto,52 reviews,Cocktail Bars,American (Traditional),10710 Research Blvd ,Austin,78759,(512) 345-7994,https://www.yelp.com/biz/baretto-austin?hrid=1UQpw1up--QrpDltwaljdw&osq=Restaurants
91,Chicon,89 reviews,American (New),,1914 E 6th St ,Austin,78702,(512) 354-1480,https://www.yelp.com/biz/chicon-austin?hrid=yLUc5Jrp00dyeAGgxK42OA&osq=Restaurants
92,Snooze - An AM Eatery,544 reviews,Breakfast & Brunch,,1700 S Lamar Blvd ,Austin,78704,(512) 428-8444,https://www.yelp.com/biz/snooze-an-am-eatery-austin-3?hrid=UU7_5pHtCtXCs48heg7zKQ&osq=Restaurants
93,Turf N Surf Po' Boy,876 reviews,Cajun/Creole,Food Stands,407 Lavaca St ,Austin,78701,(512) 276-2763,https://www.yelp.com/biz/turf-n-surf-po-boy-austin?hrid=Hql-r2_A3wJMq6aEnkCErQ&osq=Restaurants
94,Gino's Vino Osteria,166 reviews,Italian,Wine Bars,1239 E 51st St ,Austin,78723,(512) 351-8426,https://www.yelp.com/biz/ginos-vino-osteria-austin?hrid=bvNPEnOY7fsEdIh5b_cA3A&osq=Restaurants
95,Péché,881 reviews,Lounges,French,208 W 4th St ,Austin,78701,(512) 494-4011,https://www.yelp.com/biz/p%C3%A9ch%C3%A9-austin-3?hrid=HTfxm74TKt3FbsfInkLa-A&osq=Restaurants
96,Paul Martin's Austin Grill,210 reviews,American (New),Steakhouses,3120 Palm Way ,Austin,78758,(512) 953-8800,https://www.yelp.com/biz/paul-martins-austin-grill-austin-3?hrid=knouLS2bUksQaiYR6ouUaw&osq=Restaurants
97,Soursop,34 reviews,Food Trucks,Pan Asian,440 E St Elmo Rd ,Austin,78745,(512) 522-7710,https://www.yelp.com/biz/soursop-austin?hrid=gFzV5F36ziwN39ooIU2gNA&osq=Restaurants
98,Fabi + Rosi,475 reviews,Modern European,French,509 Hearn St ,Austin,78703,(512) 236-0642,https://www.yelp.com/biz/fabi-rosi-austin?hrid=HPgoInTRYVtuLA3F4eVEJQ&osq=Restaurants
99,Dai Due,382 reviews,Butcher,American (New),2406 Manor Rd ,Austin,78722,(512) 524-0688,https://www.yelp.com/biz/dai-due-austin-5?hrid=K3z-BC4BuXx2RPIoyUPJIg&osq=Restaurants
100,Hanabi,717 reviews,Ramen,Korean,2525 W Anderson Ln ,Austin,78757,(512) 407-9000,https://www.yelp.com/biz/hanabi-ramen-and-kushiyaki-austin-2?hrid=Lg1NJuahPSYGh97ElrivFA&osq=Restaurants
101,VOX Table,375 reviews,Cocktail Bars,American (New),1100 S Lamar Blvd ,Austin,78704,(512) 375-4869,https://www.yelp.com/biz/vox-table-austin?hrid=HASO5VVhVkMPgE8RP95icA&osq=Restaurants
102,Red's Porch,37 reviews,Bars,Tacos,4200 W Braker Ln ,Austin,78759,(512) 236-5436,https://www.yelp.com/biz/reds-porch-austin-2?hrid=zIMPBtswgO7subVHI5WVSA&osq=Restaurants
103,Home Slice Pizza,2862 reviews,Pizza,Sandwiches,1415 S Congress St ,Austin,78704,(512) 444-7437,https://www.yelp.com/biz/home-slice-pizza-austin?hrid=veqhIjJJ0QhAnM07sFGjIw&osq=Restaurants
104,Sophia's,140 reviews,Italian,Cocktail Bars,500 W 6th St ,Austin,78701,(512) 580-9990,https://www.yelp.com/biz/sophias-austin?hrid=5FxVNq2MF9gM9WMX35F7Uw&osq=Restaurants
105,Fumaça Gaucha Brazilian Steakhouse,124 reviews,Steakhouses,Brazilian,5100 E 7th St ,Austin,78702,(737) 484-1126,https://www.yelp.com/biz/fuma%C3%A7a-gaucha-brazilian-steakhouse-austin?hrid=8CUleylSfqpoeezSiKthUg&osq=Restaurants
106,Trace,349 reviews,American (New),Desserts,200 Lavaca St ,Austin,78701,(512) 542-3660,https://www.yelp.com/biz/trace-austin-2?hrid=ti0OFicz-_PGEsMpjMm00A&osq=Restaurants
107,Killa Wasi,9 reviews,Food Trucks,Breakfast & Brunch,,Austin,,(512) 730-0253,https://www.yelp.com/biz/killa-wasi-austin-2?hrid=hr30cY9PP6gGgvjQ1gpW0A&osq=Restaurants
108,Uchiko,1374 reviews,Sushi Bars,Gluten-Free,4200 N Lamar Blvd ,Austin,78756,(512) 916-4808,https://www.yelp.com/biz/uchiko-austin?hrid=zCtdRl7GhuR9qrJKUbNT7Q&osq=Restaurants
109,L'estelle House,61 reviews,French,Comfort Food,88 1/2 Rainey St ,Austin,78701,(512) 571-4588,https://www.yelp.com/biz/l-estelle-house-austin?hrid=9oMHiPcTLvB2tnBvKFJkCQ&osq=Restaurants
110,Banger's Sausage House & Beer Garden,1507 reviews,Pubs,Beer Gardens,79 & 81 Rainey St ,Austin,78701,(512) 386-1656,https://www.yelp.com/biz/bangers-sausage-house-and-beer-garden-austin?hrid=l33QPzJr9hhFwD83QuiH9g&osq=Restaurants
111,Old Thousand,126 reviews,Cocktail Bars,Chinese,1000 E 11th St ,Austin,78702,(737) 222-6637,https://www.yelp.com/biz/old-thousand-austin?hrid=5TM43TijcYqOGenUp12y1g&osq=Restaurants
112,23 Flavors and Snacks,9 reviews,Ice Cream & Frozen Yogurt,Hot Dogs,5808 Manor Rd ,Austin,78723,(512) 350-3830,https://www.yelp.com/biz/23-flavors-and-snacks-austin?hrid=dHBMRKJ-OeY8wI5Xgs5qAg&osq=Restaurants
113,Lenoir,331 reviews,American (New),Bars,1807 S 1st St ,Austin,78704,(512) 215-9778,https://www.yelp.com/biz/lenoir-austin?hrid=VylcfoxOYJKewWMiI94yMQ&osq=Restaurants
114,French Quarter Grille,449 reviews,American (Traditional),Cajun/Creole,13000 N Ih 35 ,Austin,78753,(512) 832-9090,https://www.yelp.com/biz/french-quarter-grille-austin?hrid=b1Zof3yLvPvNkxD6cuoMWQ&osq=Restaurants
115,Waller Creek Pub House,128 reviews,American (Traditional),Burgers,603 Sabine St ,Austin,78701,(512) 358-1903,https://www.yelp.com/biz/waller-creek-pub-house-austin?hrid=GPruXNdK4gzbXbPahEYnTg&osq=Restaurants
116,Hanabi Sushi,351 reviews,Sushi Bars,Japanese,9503 Research Blvd ,Austin,78759,(512) 795-8666,https://www.yelp.com/biz/hanabi-sushi-austin-7?hrid=HEWCxsCB17tSYW0XIemjDg&osq=Restaurants
117,Pho Please,416 reviews,Vietnamese,,1920 East Riverside Dr ,Austin,78741,(512) 354-9779,https://www.yelp.com/biz/pho-please-austin-3?hrid=Jl9hXaN6gZkzjFsZK8pqew&osq=Restaurants
118,The Salt Lick BBQ,668 reviews,Barbeque,American (Traditional),3600 Presidential Blvd ,Austin,78719,,https://www.yelp.com/biz/the-salt-lick-bbq-austin-2?hrid=4n71AeOblkbvLLlK1dothg&osq=Restaurants
119,Eberly,170 reviews,Bars,American (Traditional),615 S Lamar Blvd ,Austin,78704,(512) 916-9000,https://www.yelp.com/biz/eberly-austin?hrid=-rUeCrzoHWZzJmFnitq6QA&osq=Restaurants
